-1,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85
400,2.82712E-05,3.03397E-05,3.15962E-05,3.23512E-05,3.27852E-05,3.30081E-05,3.30899E-05,3.30759E-05,3.29969E-05,3.28736E-05,3.27206E-05,3.25481E-05,3.23632E-05,3.21712E-05,3.19758E-05,3.17796E-05
500,3.2776E-05,3.53142E-05,3.69146E-05,3.79248E-05,3.85503E-05,3.89185E-05,3.91111E-05,3.91822E-05,3.91685E-05,3.90955E-05,3.8981E-05,3.88377E-05,3.86748E-05,3.84989E-05,3.8315E-05,3.81266E-05
600,3.6959E-05,3.99233E-05,4.18327E-05,4.30705E-05,4.38658E-05,4.43619E-05,4.46514E-05,4.47962E-05,4.48388E-05,4.48084E-05,4.47262E-05,4.46069E-05,4.44617E-05,4.42984E-05,4.41229E-05,4.39398E-05
700,4.08991E-05,4.42542E-05,4.64444E-05,4.78875E-05,4.88347E-05,4.94443E-05,4.98191E-05,5.00284E-05,5.01195E-05,5.01256E-05,5.00703E-05,4.99709E-05,4.98397E-05,4.96859E-05,4.95165E-05,4.93365E-05
800,4.4624E-05,4.83393E-05,5.0786E-05,5.24151E-05,5.34989E-05,5.42098E-05,5.46601E-05,5.49257E-05,5.50587E-05,5.50958E-05,5.50632E-05,5.49798E-05,5.48595E-05,5.47127E-05,5.45471E-05,5.43684E-05
900,4.81773E-05,5.22283E-05,5.49131E-05,5.6714E-05,5.79235E-05,5.87271E-05,5.92462E-05,5.95629E-05,5.97336E-05,5.97984E-05,5.97857E-05,5.97163E-05,5.96053E-05,5.94642E-05,5.93014E-05,5.91233E-05
1000,5.15912E-05,5.59595E-05,5.88676E-05,6.08285E-05,6.21543E-05,6.3043E-05,6.36247E-05,6.39873E-05,6.41916E-05,6.42804E-05,6.42847E-05,6.42267E-05,6.41229E-05,6.39857E-05,6.38241E-05,6.36452E-05
1100,5.48937E-05,5.95653E-05,6.26852E-05,6.47965E-05,6.62304E-05,6.71973E-05,6.78357E-05,6.82393E-05,6.84728E-05,6.85821E-05,6.86001E-05,6.85507E-05,6.84516E-05,6.8316E-05,6.81537E-05,6.79722E-05
1200,5.80986E-05,6.30619E-05,6.63837E-05,6.86375E-05,7.0173E-05,7.12129E-05,7.19035E-05,7.23442E-05,7.26037E-05,7.27307E-05,7.27599E-05,7.27171E-05,7.26208E-05,7.24852E-05,7.23207E-05,7.21354E-05
1300,6.12119E-05,6.6457E-05,6.99731E-05,7.23632E-05,7.39954E-05,7.5104E-05,7.58436E-05,7.63188E-05,7.6602E-05,7.67446E-05,7.67836E-05,7.67459E-05,7.66512E-05,7.65146E-05,7.63471E-05,7.61572E-05
1400,6.42388E-05,6.97573E-05,7.34615E-05,7.59831E-05,7.77083E-05,7.88829E-05,7.96692E-05,8.01769E-05,8.04824E-05,8.06395E-05,8.06872E-05,8.06538E-05,8.05601E-05,8.04219E-05,8.02509E-05,8.0056E-05
1500,6.71841E-05,7.29685E-05,7.68553E-05,7.95044E-05,8.13195E-05,8.25577E-05,8.33888E-05,8.39276E-05,8.42542E-05,8.4425E-05,8.44807E-05,8.4451E-05,8.43579E-05,8.42178E-05,8.4043E-05,8.38429E-05
1600,7.00526E-05,7.60961E-05,8.01604E-05,8.29332E-05,8.48353E-05,8.6135E-05,8.70091E-05,8.75778E-05,8.79245E-05,8.81081E-05,8.81711E-05,8.81447E-05,8.80518E-05,8.79094E-05,8.77306E-05,8.75252E-05
1700,7.285E-05,7.91463E-05,8.33835E-05,8.62767E-05,8.82632E-05,8.96223E-05,9.0538E-05,9.11354E-05,9.15013E-05,9.1697E-05,9.17669E-05,9.17433E-05,9.16501E-05,9.15053E-05,9.13223E-05,9.11113E-05
1800,7.55828E-05,8.21265E-05,8.65326E-05,8.95431E-05,9.16119E-05,9.30288E-05,9.39849E-05,9.461E-05,9.49943E-05,9.52016E-05,9.52779E-05,9.52568E-05,9.51632E-05,9.50157E-05,9.48284E-05,9.46118E-05
1900,7.82584E-05,8.50448E-05,8.96166E-05,9.27421E-05,9.48914E-05,9.63648E-05,9.73604E-05,9.80125E-05,9.84147E-05,9.86332E-05,9.87156E-05,9.86968E-05,9.86027E-05,9.84525E-05,9.82608E-05,9.80387E-05
2000,8.08847E-05,8.79096E-05,9.2644E-05,9.58821E-05,9.81103E-05,9.96389E-05,0.000100673,0.000101351,0.000101771,0.000102,0.000102088,0.000102071,0.000101976,0.000101823,0.000101627,0.000101399
