-1,400,800,1500,2000
0.01,1.0056,1.0101,1.0137,1.0146
0.10,1.0272,1.0289,1.0304,1.0310
0.30,1.0388,1.0394,1.0396,1.0399
0.50,1.0374,1.0377,1.0375,1.0377
0.70,1.0304,1.0306,1.0302,1.0303
0.90,1.0192,1.0191,1.0187,1.0188
0.99,1.0130,1.0127,1.0125,1.0124
